,cfg,fold,loss_test,acc_test,f1_test,mean_loss,std_loss,mean_acc_val,std_acc_val,mean_acc_train,std_acc_train,mean_f1_train,std_f1_train,mean_f1_val,std_f1_val
0,0,1,0.3488844590424111,87.49049429657795,0.875153253603781,0.29629248226864957,0.010081677399415144,75.74869113891856,1.0655982237274415,87.93917681756135,0.4191466244628411,0.878681992797093,0.0042164159549358616,0.7570648232723683,0.011734820879416708
1,1,1,15.09172840328976,20.228136882129277,0.2099981015356335,0.2911105779758554,0.017378793283753306,75.66804420323624,1.4878005211587022,88.15938206007347,0.770204063252602,0.8808685674801175,0.007761777939368349,0.7569265893679469,0.014912498360381166
2,2,1,0.3566319216321408,85.96958174904942,0.859863631846562,0.28809979375013073,0.018395254205471664,76.1004834370153,1.4128677873786022,88.26749480729647,0.7914205216219261,0.8819713812196538,0.008003635331183668,0.7612349061406211,0.014059597059680188
3,3,1,10.582386053269675,25.247148288973385,0.2177606236319981,0.29775135085132426,0.024153873743501253,76.00713496907045,1.3123085897166304,87.83491360875563,1.064710338365843,0.8776452823659394,0.010679692431864835,0.760354077979897,0.01307050709618036
4,4,1,9.631388605405196,25.32319391634981,0.23510945394690919,0.3194785979664373,0.048999871786368374,75.56730174519555,1.5641611956716301,86.88544142200355,2.148539032560285,0.8680857929745674,0.021630310996899493,0.7559715726085371,0.015597220635924003
5,5,1,9.227713168854029,16.768060836501903,0.18135796145259123,0.36164749446491046,0.10556354769051668,74.34586730196914,3.096015222328662,85.05687946652637,4.5878898541499575,0.8496033222703291,0.04635070246930746,0.7436515375257553,0.031135927813504764
6,6,1,3.2883611043405225,29.46768060836502,0.2795720620474834,0.4235218964517945,0.18081432853452772,72.46255773601699,5.439224280021469,82.36850907191352,7.85630658257688,0.82207602600878,0.08013895415635057,0.7252460765675899,0.05359465917225427
7,7,1,2.7795628978498987,24.524714828897338,0.21132100067551815,0.5193740967284256,0.30525654033580835,69.63702226377434,9.057991247756268,78.17392913273363,13.321445935834351,0.7785437707549492,0.1375676305446611,0.6972639333308122,0.08953455347087406
8,8,1,2.800085717530305,12.623574144486692,0.11541528456155097,0.6291632202139084,0.4243255279170298,66.23146355784712,12.933324358870777,73.57200178579828,18.10845512159248,0.7303368650482701,0.1884432431594365,0.6635771022162604,0.12786548732412306
9,9,1,1.7579850240805304,31.634980988593156,0.2603129016471737,0.7414492361495829,0.5250204152579645,62.45353000960803,16.713792799581523,69.17161743061338,21.66738932253882,0.6825868676346242,0.2290985909184274,0.6259644813167121,0.16575808243739198
10,10,1,2.1828481689152155,24.90494296577947,0.21438346555657428,0.8587662713813994,0.6231612300385027,57.37921506524899,22.643544668968755,64.85417108890789,24.764938911177023,0.6317124623859147,0.27133582671477796,0.5744363320679479,0.22725380019902716
11,11,1,2.276625213514263,24.03041825095057,0.1931992858262677,0.9759355326558438,0.7120291492077437,53.83950600169931,24.71086747135302,61.46490350380355,26.243616984439,0.593731867898324,0.28877814484316117,0.5360101183474344,0.25286063192589386
12,0,2,5.146461431692202,22.395437262357415,0.19335661348695976,0.4189726063157468,0.009886172833492888,66.84652921939853,0.3880409886610976,82.20638300550954,0.369503129959289,0.8208021460482984,0.0036260698384840136,0.665592418135556,0.005782321017068043
13,1,2,5.980422759422246,19.923954372623573,0.15317193448516653,0.42927613240267115,0.01305378479643622,66.87309611541534,0.6572603081285298,81.75897536343844,0.5466792129450373,0.8163121262751194,0.0054882133559567585,0.6664947617111392,0.00774754706782787
14,2,2,6.758146308715891,19.96197718631179,0.1558947074099341,0.4421351055230408,0.022131959182543837,66.660231659187,1.0046686743487951,81.1294028640665,1.0360379089498082,0.8099938548641992,0.010424389217759017,0.6645422417165953,0.009922003684729702
15,3,2,2.586428694424345,36.7680608365019,0.34241823825601553,0.46434569072460635,0.043681647005174455,66.26136959589692,1.3718056898543716,80.18511485723353,1.897172504799505,0.8004924564534758,0.019108216974973356,0.6607122485804324,0.01368112213041599
16,4,2,0.7259471106566285,69.1254752851711,0.6901438704243338,0.498248445755544,0.07875466936952419,65.5710982292611,1.908598651362397,78.68579518713211,3.4681629042081297,0.7854558330382776,0.034823204057570466,0.6538356043870077,0.019055972374047637
17,5,2,2.6036797119134563,33.99239543726236,0.29362362226435906,0.5333619785684427,0.1071759985855054,64.97416463419023,2.2298772729574936,77.13918866498096,4.723690552324844,0.7697652092645935,0.04770307420285492,0.6481300581283088,0.021968323778875073
18,6,2,2.7358187790379325,26.730038022813687,0.2087430128149189,0.5792967755821639,0.15048799812346023,63.84254628713496,3.4864001500268094,75.14077919709396,6.5837552651841,0.7491118013063938,0.06738203806334098,0.6370159911109531,0.03427431494793174
19,7,2,3.0597659946961095,21.330798479087452,0.15936260135028554,0.6475556432099168,0.22913707177963172,62.54306376168195,4.763782485028574,72.09972362049476,10.13705287954789,0.7174795883923534,0.10483916772407495,0.6242734510577335,0.04672416601204187
20,8,2,1.0218730125703739,57.6425855513308,0.5846436119811261,0.729931423730327,0.31849334014220554,60.731265442723796,6.89143915311013,68.58805016982906,13.801303131582548,0.6803969394418948,0.14432183261717138,0.6067055755442339,0.06721954428326773
21,9,2,1.395126997110055,45.09505703422053,0.476292325369028,0.8259650238851646,0.4179178377692152,57.71855116791454,11.218112762458668,64.77683656566204,17.395203976362314,0.6383482647183899,0.18636829000424804,0.5767008737171243,0.11121097016464937
22,10,2,2.002801185234418,5.2091254752851714,0.07047994598135777,0.9313132164589928,0.5195049687116652,52.91405421677607,18.58371532251684,60.801531558801,20.811797889284126,0.5907789046884478,0.2328252758381343,0.5279360992527801,0.18719552656712155
23,11,2,2.2833107952835894,19.429657794676807,0.15420839756717955,1.0416182994503016,0.6174433314151827,49.49285961519454,21.116015773721056,57.58593240389504,22.606905208177825,0.5531731642758546,0.25560690174269085,0.4904702699639667,0.21836974456201133
24,0,3,7.328373112775649,20.95853936858121,0.17618398311732497,0.3895770450531467,0.012050571099043197,70.89665301003394,0.8369632577810844,83.42876170081807,0.5610531361556301,0.8332573603869629,0.005599572841641606,0.7074297064733942,0.008743372463394912
25,1,3,0.5074863307764315,78.50893875998479,0.7850905476057393,0.38131441656648335,0.021347223018476615,71.23067990869984,0.9948570261045053,83.73999412679565,0.972522071603958,0.8364200038626389,0.009803220661223525,0.711213870095279,0.010030393604564886
26,2,3,0.528157884816195,77.71015595283377,0.7773645933863104,0.38288672733558243,0.01892873697747782,71.24399475444838,1.0004148394562056,83.65968390746961,0.8654073272225852,0.8356337643661064,0.008699500869824699,0.7115194282008275,0.009980245035997273
27,3,3,4.15956098288326,28.261696462533283,0.2254674330259421,0.39380451716164744,0.02538070584740405,71.02578291964609,0.9655111727197321,83.16952755461423,1.1503652738588062,0.8307190829285,0.011564346243410836,0.7094758769652907,0.00955513939048121
28,4,3,3.305331596029875,28.87029288702929,0.2567455938598154,0.42032921928763,0.057931592137315836,70.50913731409067,1.4671192955225132,81.99768755513549,2.574712845002282,0.8188922616124745,0.025980960426634073,0.704397191906523,0.014499962974776513
29,5,3,3.6190308890684153,25.675161658425257,0.20246479551609703,0.4598022593124265,0.10345405344654691,69.69819497211721,2.3285368892258163,80.27510381567325,4.533866864907561,0.8015103821428001,0.045760319806150196,0.6964442122436119,0.02294272028341206
30,6,3,3.1705897001768526,24.15367059718524,0.19737599030998781,0.51583636570624,0.16853674898762744,68.14529041420286,4.393400154460056,77.9026878822341,7.215433487329325,0.7772453906335782,0.07346921045918224,0.6810323077852637,0.04355958528503582
31,7,3,2.6879640059831162,23.08862685431723,0.21293154579628348,0.5901648880810624,0.25246497531692186,65.95298250781727,7.138404352484531,74.70454436422908,10.848421844668724,0.7441019721105604,0.11167378229920179,0.6592322514783912,0.0708966038312584
32,8,3,2.1615694580127096,23.88740966146824,0.1766698149776459,0.6936291811669174,0.3784104607485184,62.85517058301974,11.192531521824442,70.42951439935881,15.851418292081432,0.6989666002999961,0.1657119352163211,0.6289076228724741,0.11037499611036211
33,9,3,2.1680176100743593,22.89844047166223,0.17215778434793563,0.7984139080315427,0.4772326943230053,59.262529073202465,15.135151702391424,66.3560288743614,19.388682084325165,0.6544549899669267,0.20634207343816063,0.5936640421869207,0.14883993195291187
34,10,3,2.169248200632765,14.530239634842145,0.1064277813855966,0.9170459613854476,0.5897641023421689,54.598577609536335,20.69460673606822,62.23376301083331,22.622932356622727,0.6050572433280851,0.251239758314173,0.5438341071337469,0.21242255334747534
35,11,3,2.3086951449145015,5.2871814378090525,0.06959453150812486,1.0301699254877326,0.6779415473464664,50.8832747143115,23.385034634618744,58.85602140333368,24.388871052309767,0.5653007579465421,0.2744646156771641,0.5054436295004006,0.24044262745503475
36,0,4,5.065099058095713,25.294788893115253,0.21959289713240274,0.441276838238929,0.021887909258639416,67.1960176204461,1.4106550267978213,81.31650254495757,0.9748644480098799,0.8120530328672583,0.009719478408525493,0.6689200665267995,0.014919248529501727
37,1,4,5.782514617321733,20.387980220616203,0.15448282925419124,0.4300404850127639,0.02947538283339778,67.69656133229822,1.2629414573293978,81.79967342017112,1.3228062479971037,0.8168665699398453,0.013264800829198432,0.6748302738211238,0.013573563828890306
38,2,4,5.432696877038386,23.278813236972233,0.20744729535648693,0.4323958699096076,0.025849713430595552,67.68404231070795,1.2429649122349888,81.71564997578159,1.156994764629844,0.8160528710770069,0.011566131898655949,0.6749674741346036,0.012754438628156908
39,3,4,4.900992809496211,21.795359452263217,0.16837553094376834,0.4475496599594826,0.04004170438658594,67.1926952531275,1.4307808070212367,81.01738705846206,1.8316478450305305,0.8090887021708024,0.018366737148348806,0.6700355875579139,0.014524962179828791
40,4,4,0.7464847679586103,67.40205401293268,0.6730561766086424,0.4752117472659144,0.06645914042410675,66.52284129455637,1.9407163006080235,79.78589643584934,2.986315531607005,0.7967354505326094,0.02995824450173924,0.663544438806218,0.019255630249149742
41,5,4,0.7529193274710896,67.82046405477368,0.6786030622286746,0.5072402018761948,0.09417307302185045,66.04735073379567,2.1665650262443075,78.34945859226814,4.226912187430419,0.7822515659132515,0.04254524906307659,0.6591511962355009,0.02136034455234133
42,6,4,3.9299135453043985,22.556104982883227,0.18150183688652827,0.5509897890700668,0.13844153560284062,65.20155755119494,2.8908987133481916,76.40905553836087,6.169005117672081,0.7623458950452356,0.0628178359148997,0.6512025791102185,0.027882498676025973
43,7,4,2.639136698648203,25.97945987067326,0.22974343807824643,0.62125206441795,0.22694233267878564,63.752116356002986,4.721337359351892,73.24365082061834,10.190437603897875,0.7294317378637913,0.10526789056072725,0.6374496198528297,0.04504860347808002
44,8,4,1.1006378612451655,51.69265880562952,0.531694497287041,0.7117273007382301,0.33381488043008783,61.43297841008942,7.965588562098513,69.31939891538724,14.691981821770481,0.6878142305681378,0.15407146754883028,0.614544086619235,0.07780336422208317
45,9,4,2.068750990144469,29.440852034994293,0.24457436569642224,0.8031244395933506,0.4195518084963161,58.51875914064743,11.691860379080435,65.58479410572119,17.904681616550032,0.6470552812894974,0.19088730526476877,0.5854513924799712,0.11616013375669391
46,10,4,2.143313458864568,15.405096995055153,0.09430526043883654,0.9107290062611875,0.5252448120114952,53.627728984910036,19.102485925192738,61.45321930429245,21.49849072652851,0.5973431947743777,0.2406263652816436,0.5346996400166073,0.19520556087713314
47,11,4,2.243750489406506,23.84937238493724,0.15367668238027657,1.0229906403599722,0.6257181016578045,49.97217479117686,22.066201795710462,58.03791040363712,23.49608516291697,0.5562592603640776,0.2677030755354384,0.49444530720663293,0.23006649206391558
48,0,5,6.898597527257557,24.496006085964243,0.1827193389264912,0.3773381854421383,0.024994382805804558,72.15630425850199,1.5518044299205387,84.05192331467578,1.184271499321467,0.8395218691969799,0.011996059757959426,0.7209570928125598,0.015443752686528
49,1,5,0.5121284204095211,79.15557246101179,0.7911481862644321,0.37192717948228177,0.02023190358801001,72.45187933936784,1.3470609054001041,84.31314983117218,0.9570635199511591,0.8422310709065293,0.00971949804538478,0.7236062089852592,0.013940385777383978
50,2,5,4.171811866866245,25.675161658425257,0.2127552993513262,0.37890124839655176,0.022988147411304775,72.606558420877,1.257203245048893,83.99898126946685,1.0507082685434854,0.839120461333715,0.010583113028043607,0.7250463340972824,0.013419435284669377
51,3,5,5.728928212063672,15.823507036896158,0.12577282678901558,0.39453981805199606,0.03457387115610268,72.42863922133304,1.343785509480201,83.30314460266533,1.5555679390829562,0.8321544493876992,0.015601489776096126,0.7236393936797177,0.013663687276667993
52,4,5,4.419437839333981,20.235831114492203,0.14671455715548534,0.4213425639479969,0.06326159428147003,72.04934759144163,1.444452905088415,82.08372208734478,2.8683705110469617,0.8199107549213597,0.02880961127155645,0.7199522329429956,0.014509249261431255
53,5,5,4.151691792865088,19.170787371624193,0.15198722765812595,0.46099963398277966,0.1063859557201323,71.18660222689967,2.358205172527651,80.34987740535546,4.703817826725527,0.8023857727361622,0.04744664622436408,0.7115712528419962,0.02314550858123038
54,6,5,4.136666626962431,16.812476226702167,0.12675267573483145,0.5184192635744947,0.17204897670820174,69.59998014432774,4.459944010779866,77.8536023317245,7.543312098411549,0.7769029142200399,0.07666655413082335,0.6959593521437739,0.04385231152724457
55,7,5,2.3785233519951534,31.03841764929631,0.2551953014911967,0.5993137309344679,0.2688967077522321,67.3140232663516,7.383442956355781,74.25917782019056,11.876596046701613,0.7396519487720818,0.12233063375370255,0.6734986856750973,0.072573797219234
56,8,5,1.888792079521613,29.8972993533663,0.23418161027066678,0.6991814555438924,0.3798844524756551,64.40678189126722,10.793322041960408,70.01926155652961,16.41729816100461,0.6949208597830822,0.17133046099033275,0.645033304741155,0.1058641295922763
57,9,5,2.1305039548384186,24.11563332065424,0.18488941480790563,0.8043600382525331,0.47920155386463753,60.76823780902005,14.976123712308091,65.84522241306179,19.989480390036046,0.6497391781539404,0.21171683373600095,0.6089750901689228,0.14781751358589149
58,10,5,2.2140380930383654,6.542411563332066,0.0778497880702467,0.9225845152824409,0.590384915757449,55.86958264048807,21.09335206203115,61.728703593021294,23.081795772443133,0.600550451497653,0.254877686228611,0.5592992637982516,0.21131247542989673
59,11,5,2.2899180279343967,17.649296310384177,0.15790356252759613,1.0352887879404808,0.6776742281448184,52.13315154262768,23.83218398729899,58.26131731052681,24.927049076320127,0.5612274246641479,0.27697453000097044,0.5194640960342474,0.24280317303873658
